MZ,intensity
8500,3.6461
8502,3.6297
8504,3.6154
8506,3.6061
8508,3.6083
8510,3.623
8512,3.6437
8514,3.6665
8516,3.6894
8518,3.7078
8520,3.7245
8522,3.7379
8524,3.7365
8526,3.7356
8528,3.7496
8530,3.7852
8532,3.8546
8534,3.9607
8536,4.0877
8538,4.2076
8540,4.3069
8542,4.3647
8544,4.3655
8546,4.3071
8548,4.2092
8550,4.0919
8552,3.9728
8554,3.8741
8556,3.8009
8558,3.7574
8560,3.7364
8562,3.7292
8564,3.7201
8566,3.7052
8568,3.6796
8570,3.637
8572,3.5913
8574,3.553
8576,3.5213
8578,3.4941
8580,3.4784
8582,3.4721
8584,3.4763
8586,3.4825
8588,3.4957
8590,3.5235
8592,3.5562
8594,3.5962
8596,3.6314
8598,3.6595
8600,3.6732
8602,3.6739
8604,3.6661
8606,3.6655
8608,3.678
8610,3.7024
8612,3.732
8614,3.7559
8616,3.7603
8618,3.7394
8620,3.707
8622,3.676
8624,3.661
8626,3.6813
8628,3.7349
8630,3.82
8632,3.9326
8634,4.0582
8636,4.1888
8638,4.3084
8640,4.4015
8642,4.4509
8644,4.4513
8646,4.409
8648,4.3369
8650,4.2369
8652,4.1329
8654,4.0398
8656,3.9608
8658,3.9064
8660,3.882
8662,3.8867
8664,3.9198
8666,3.9681
8668,4.0239
8670,4.0742
8672,4.1103
8674,4.1177
8676,4.0914
8678,4.0301
8680,3.9509
8682,3.8655
8684,3.8085
8686,3.7979
8688,3.8401
8690,3.9371
8692,4.0626
8694,4.1951
8696,4.3001
8698,4.356
8700,4.3576
8702,4.3088
8704,4.2258
8706,4.1367
8708,4.0603
8710,4.0107
8712,3.9968
8714,4.0119
8716,4.0626
8718,4.1378
8720,4.2241
8722,4.325
8724,4.432
8726,4.5377
8728,4.6355
8730,4.7002
8732,4.7165
8734,4.6764
8736,4.5847
8738,4.472
8740,4.3705
8742,4.3112
8744,4.322
8746,4.4194
8748,4.6006
8750,4.8551
8752,5.1524
8754,5.4607
8756,5.7456
8758,5.9619
8760,6.1106
8762,6.1756
8764,6.1738
8766,6.1224
8768,6.0246
8770,5.8884
8772,5.7193
8774,5.5403
8776,5.4014
8778,5.3686
8780,5.5013
8782,5.8676
8784,6.4711
8786,7.2947
8788,8.2455
8790,9.1673
8792,9.8896
8794,10.251
8796,10.187
8798,9.7631
8800,9.2221
8802,8.9454
8804,9.2801
8806,10.548
8808,12.942
8810,16.437
8812,20.688
8814,25.041
8816,28.654
8818,30.753
8820,30.868
8822,29.028
8824,25.702
8826,21.612
8828,17.503
8830,13.905
8832,11.138
8834,9.3226
8836,8.3818
8838,8.1271
8840,8.3558
8842,8.868
8844,9.4821
8846,10
8848,10.289
8850,10.27
8852,9.9175
8854,9.2958
8856,8.5156
8858,7.7054
8860,6.9758
8862,6.3863
8864,5.9842
8866,5.7713
8868,5.7207
8870,5.7938
8872,5.9568
8874,6.1689
8876,6.3926
8878,6.5766
8880,6.6704
8882,6.6571
8884,6.5417
8886,6.3641
8888,6.1642
8890,5.9869
8892,5.8741
8894,5.8438
8896,5.8891
8898,6.0001
8900,6.1429
8902,6.2778
8904,6.3971
8906,6.4841
8908,6.5388
8910,6.5563
8912,6.5228
8914,6.4138
8916,6.2247
8918,5.9706
8920,5.6895
8922,5.4215
8924,5.2048
8926,5.063
8928,5.0047
8930,5.0008
8932,5.0428
8934,5.0964
8936,5.1422
8938,5.166
8940,5.1674
8942,5.1418
8944,5.1087
8946,5.0717
8948,5.0395
8950,5.0096
8952,4.9835
8954,4.9667
8956,4.9459
8958,4.9114
8960,4.8731
8962,4.822
8964,4.7653
8966,4.7178
8968,4.6824
8970,4.6664
8972,4.6734
8974,4.7003
8976,4.746
8978,4.8065
8980,4.8779
8982,4.9466
8984,4.989
8986,5.0038
8988,4.9818
8990,4.9295
8992,4.8536
8994,4.7787
8996,4.7219
8998,4.7066
9000,4.7376
9002,4.808
9004,4.9162
9006,5.0497
9008,5.1881
9010,5.3091
9012,5.4019
9014,5.4678
9016,5.5119
9018,5.5514
9020,5.6034
9022,5.6993
9024,5.8352
9026,6.0137
9028,6.2071
9030,6.3832
9032,6.5028
9034,6.5371
9036,6.4879
9038,6.3803
9040,6.2469
9042,6.1209
9044,6.0324
9046,5.9691
9048,5.9308
9050,5.8902
9052,5.8334
9054,5.779
9056,5.7412
9058,5.7869
9060,5.9538
9062,6.2738
9064,6.7846
9066,7.4605
9068,8.2455
9070,9.0205
9072,9.6318
9074,9.9411
9076,9.8837
9078,9.457
9080,8.7745
9082,7.9608
9084,7.1518
9086,6.4628
9088,5.9372
9090,5.6049
9092,5.4527
9094,5.4364
9096,5.5385
9098,5.6978
9100,5.8801
9102,6.0406
9104,6.1414
9106,6.1509
9108,6.0762
9110,5.923
9112,5.7378
9114,5.5455
9116,5.371
9118,5.2237
9120,5.1148
9122,5.0423
9124,5.0014
9126,4.985
9128,4.9844
9130,4.9808
9132,4.9626
9134,4.9261
9136,4.8909
9138,4.8611
9140,4.8533
9142,4.8699
9144,4.9113
9146,4.9597
9148,5.0018
9150,5.0254
9152,5.0364
9154,5.0387
9156,5.0502
9158,5.0869
9160,5.1506
9162,5.2279
9164,5.3042
9166,5.351
9168,5.3633
9170,5.3412
9172,5.2798
9174,5.2028
9176,5.125
9178,5.0687
9180,5.0279
9182,4.9982
9184,4.9835
9186,4.9555
9188,4.9225
9190,4.8812
9192,4.8468
9194,4.8261
9196,4.8385
9198,4.8863
9200,4.958
9202,5.0443
9204,5.1178
9206,5.1649
9208,5.1661
9210,5.1385
9212,5.0947
9214,5.0484
9216,5.0185
9218,4.9964
9220,4.9855
9222,4.9779
9224,4.9792
9226,4.9873
9228,5.0044
9230,5.0375
9232,5.0816
9234,5.1353
9236,5.1869
9238,5.2227
9240,5.2205
9242,5.1751
9244,5.0854
9246,4.978
9248,4.8771
9250,4.818
9252,4.8286
9254,4.8961
9256,5.0274
9258,5.2031
9260,5.3872
9262,5.5569
9264,5.6799
9266,5.7404
9268,5.734
9270,5.6872
9272,5.6144
9274,5.5491
9276,5.518
9278,5.5319
9280,5.586
9282,5.6632
9284,5.7651
9286,5.8594
9288,5.9465
9290,6.0512
9292,6.1783
9294,6.3271
9296,6.4783
9298,6.5923
9300,6.6183
9302,6.5575
9304,6.4302
9306,6.3199
9308,6.3301
9310,6.5764
9312,7.1346
9314,8.0528
9316,9.289
9318,10.681
9320,11.981
9322,12.922
9324,13.305
9326,13.047
9328,12.231
9330,11.055
9332,9.7496
9334,8.5299
9336,7.5438
9338,6.877
9340,6.5112
9342,6.4002
9344,6.4602
9346,6.6091
9348,6.7712
9350,6.8904
9352,6.9201
9354,6.8479
9356,6.6692
9358,6.4077
9360,6.1111
9362,5.814
9364,5.5476
9366,5.3276
9368,5.1714
9370,5.0868
9372,5.063
9374,5.0791
9376,5.1222
9378,5.1849
9380,5.2445
9382,5.2863
9384,5.2867
9386,5.25
9388,5.1678
9390,5.0534
9392,4.9316
9394,4.8193
9396,4.7302
9398,4.6812
9400,4.6747
9402,4.696
9404,4.7353
9406,4.781
9408,4.8017
9410,4.7916
9412,4.7547
9414,4.691
9416,4.6131
9418,4.5251
9420,4.4351
9422,4.3488
9424,4.2781
9426,4.229
9428,4.2079
9430,4.2168
9432,4.2523
9434,4.295
9436,4.337
9438,4.373
9440,4.4016
9442,4.4136
9444,4.4234
9446,4.4154
9448,4.4014
9450,4.3795
9452,4.3494
9454,4.3101
9456,4.2747
9458,4.2431
9460,4.2248
9462,4.2191
9464,4.2216
9466,4.2238
9468,4.2244
9470,4.2104
9472,4.1894
9474,4.163
9476,4.1554
9478,4.1597
9480,4.1898
9482,4.2414
9484,4.3149
9486,4.3946
9488,4.4714
9490,4.5265
9492,4.5529
9494,4.552
9496,4.5274
9498,4.4864
9500,4.4451
